"Word","SUBTLEX.FREQ","BNC.FREQ","Celex.FREQ"
"aims",55,4207,400
"air",6023,19076,4496
"airbase",5,48,0
"airbed",0,5,19
"airborne",169,437,126
"airbrake",0,52,0
"airbrakes",0,77,0
"airbus",0,198,16
"aircraft",433,6203,800
"aircrew",1,100,14
"aircrews",0,25,2
"airdrome",2,0,9
"airdrop",2,9,0
"airdrops",0,23,0
"aired",45,173,20
"airedale",1,41,0
"airfield",86,617,84
"airfields",7,197,54
"airflow",5,58,1
"airforce",6,104,7
"airframe",0,132,5
"airframes",0,44,1
"airgun",0,14,3
"airguns",0,9,1
"airier",0,7,1
"airing",32,201,26
"airless",5,53,24
"airlift",10,113,14
"airlifts",0,17,0
"airline",311,1070,184
"airlines",66,922,152
"airlock",37,68,16
"airlocks",1,16,2
"airmail",14,63,17
"airman",9,104,5
"airmen",31,163,23
"airplane",507,79,73
"airplanes",151,29,29
"airport",1710,2920,932
"airports",67,413,137
"airs",37,138,35
"airscrew",0,4,0
"airship",30,76,1
"airships",3,39,3
"airsick",15,2,4
"airspace",81,119,19
"airspeed",18,89,1
"airstrip",55,83,29
"airstrips",3,21,3
"airtight",52,68,21
"airway",72,122,2
"airways",13,730,121
"airy",16,260,58
"aisle",343,468,129
"aisles",37,194,45
"aitch",0,15,6
"aitches",0,13,7
"ajar",23,133,35
"akin",13,420,63
"al",144,1357,268
"alack",3,5,0
"alarm",1422,2337,370
"alarmed",150,738,225
"alarms",152,388,62
"alas",53,655,271
"alb",0,19,0
"albs",0,2,1
"album",488,2167,101
"albums",118,452,16
"alcove",16,151,49
"alcoves",2,35,13
"alder",2,151,18
"alders",3,35,10
"ale",183,663,56
"alehouse",1,44,2
"alert",882,1600,327
"alerts",13,61,15
"ales",5,108,7
"alga",0,15,0
"algae",20,588,49
"alias",143,153,21
"alien",788,1256,303
"aliens",433,360,65
"alight",20,384,70
"alights",0,13,3
"align",34,130,12
"aligned",39,395,25
"aligns",5,17,1
"alike",578,1462,344
"alive",7714,4254,1135
"all",193220,262447,64395
"allah",1,114,102
"allay",16,141,28
"allayed",4,63,5
"allays",1,6,1
"allege",11,117,12
"alleged",194,3073,275
"alley",718,642,165
"alleys",58,192,56
"allied",44,1862,486
"allies",161,1637,363
"allot",8,83,8
"allots",1,5,1
"allow",1840,11469,1572
"allowed",2278,14345,2370
"allows",277,4132,365
"alloy",50,307,24
"alloyed",0,12,0
"alloys",11,121,15
"allspice",3,13,4
"allude",10,29,0
"allure",23,69,18
"allured",1,4,0
"ally",178,866,124
"almond",35,330,24
"almonds",59,240,42
"almost",8491,31588,8426
"alms",10,89,13
"aloe",13,27,0
"aloes",1,7,5
"aloft",34,212,54
"alone",15212,13265,3714
"along",9089,19335,5267
"aloof",27,236,68
"aloud",91,999,328
"alp",1,135,4
"alpha",87,1121,55
"alphas",0,21,1
"alpine",6,487,51
"alps",2,469,71
"alright",1755,8369,245
"alsace",0,113,10
"also",9336,124885,16496
"altar",257,895,380
"altars",5,92,20
"alter",218,1912,316
"altered",215,1963,300
"alters",20,193,36
"although",720,43637,5424
"alto",12,174,27
"altos",3,53,3
"alum",6,77,7
"always",31224,46228,11850
"am",52421,26872,13224
"amah",1,10,4
"amass",3,53,8
"amassed",20,157,25
"amaze",76,99,16
"amazed",257,1011,275
"amber",72,508,62
"ambience",37,197,20
"ambient",17,167,14
"ambit",0,183,8
"amble",5,54,11
"ambled",2,106,20
"ambles",0,13,0
"ambling",1,37,14
"ambush",245,274,73
"ambushed",100,127,20
"amen",97,325,43
"amend",32,409,20
"amends",94,198,26
"amid",34,1096,222
"amidst",28,496,67
"amir",3,127,4
"amirs",0,3,1
"amiss",38,483,41
"ammo",260,39,8
"amok",19,47,9
"among",1541,22864,5090
"amongst",348,4552,525
"amount",1260,15429,2281
"amounts",180,3017,492
"amour",61,44,4
"amours",5,14,6
"amp",73,679,7
"ampere",0,2,10
"amperes",1,3,8
"ample",80,822,191
"ampler",0,4,1
"amply",18,202,34
"ampoule",0,5,0
"ampoules",15,15,1
"amps",48,206,21
"amuck",26,4,0
"amuse",124,230,96
"amused",128,1050,325
"an",90046,344046,59359
"anal",117,529,33
"anchor",302,601,113
"anchored",35,262,55
"anchors",27,99,15
"ancient",953,5083,1477
"ancients",18,81,36
"and",515365,2682878,514946
"anew",44,191,33
"angel",1430,1517,194
"angels",517,785,209
"anger",902,3881,951
"angered",28,347,70
"angers",17,64,34
"angle",733,2479,430
"angled",11,287,25
"angler",13,197,250
"anglers",2,508,225
"angles",161,1258,163
"angling",18,293,133
"angrier",35,56,26
"angry",2890,4226,1163
"angst",41,116,9
"anguish",106,569,155
"anguished",9,200,40
"anis",0,21,0
"anise",3,14,5
"ankle",399,973,185
"ankles",217,508,174
"anklet",21,6,1
"anklets",5,11,3
"anna",1,2787,233
"annals",27,159,18
"annas",1,4,4
"annealed",0,14,0
"annex",28,199,8
"annexe",6,177,36
"annexed",7,165,20
