"Word","SUBTLEX.FREQ","BNC.FREQ","Celex.FREQ"
"classes",793,6063,1143
"classic",658,3419,503
"classics",86,749,151
"classier",13,14,0
"classing",0,12,0
"classless",4,159,38
"classmate",75,22,9
"classmates",127,118,51
"classroom",223,2249,272
"classrooms",30,517,56
"classy",254,160,22
"clatter",31,247,101
"clattered",0,169,50
"clatters",14,13,2
"clause",122,3632,127
"clauses",18,1303,59
"clave",1,2,0
"claw",163,316,60
"clawed",17,159,40
"clawing",24,86,36
"claws",195,422,130
"clay",197,1599,372
"clayey",0,9,3
"claymore",14,20,3
"claymores",8,5,2
"clean",5587,6512,1581
"cleaned",881,1091,225
"cleaner",326,1045,169
"cleaners",210,446,74
"cleanest",29,60,17
"cleaning",1077,2441,392
"cleanly",23,141,32
"cleanness",2,16,8
"cleans",114,113,14
"cleanse",62,112,20
"cleansed",26,110,15
"cleanser",21,59,7
"cleansers",3,30,1
"cleanses",10,16,1
"cleansing",48,342,23
"cleanup",82,23,14
"clear",7369,25538,4218
"clearance",332,881,105
"cleared",811,2717,505
"clearer",134,897,145
"clearest",17,264,38
"clearing",310,1730,299
"clearings",2,45,18
"clearly",1223,15349,2561
"clearness",3,20,7
"clearout",0,4,0
"clears",283,191,40
"clearway",3,6,1
"cleat",15,25,22
"cleats",21,10,10
"cleavage",63,352,40
"cleave",5,42,28
"cleaved",3,64,10
"cleaver",35,72,22
"cleavers",1,4,4
"cleaves",1,16,9
"cleaving",3,36,5
"clef",2,72,1
"clefs",0,13,0
"cleft",30,169,57
"clefts",1,20,10
"clement",2,386,110
"clements",1,137,10
"clench",15,84,16
"clenched",21,647,145
"clenches",4,10,2
"clenching",6,80,13
"clergy",42,1357,85
"cleric",8,127,12
"clerics",4,142,8
"clerk",558,1952,412
"clerked",3,0,0
"clerks",64,625,135
"clever",1239,2357,568
"clew",3,11,223
"clewed",0,0,0
"clews",0,5,174
"cliché",123,0,0
"clichéd",11,0,0
"clichés",28,0,0
"click",239,641,100
"clicked",52,299,80
"clicking",123,251,59
"clicks",170,140,34
"client",2693,6099,202
"clients",1050,4861,253
"cliff",383,1579,294
"cliffs",87,913,174
"climate",171,2817,496
"climates",8,245,90
"climax",85,667,175
"climaxed",4,26,10
"climb",815,2242,637
"climbed",244,2424,605
"climber",36,302,80
"climbers",18,583,94
"climbing",373,2196,574
"climbs",51,446,84
"clime",6,6,4
"climes",10,72,14
"clinch",31,230,18
"clinched",9,224,15
"clincher",17,25,4
"clinches",10,17,1
"clinching",2,94,9
"cline",2,49,2
"clines",0,7,0
"cling",112,416,120
"clinging",53,702,160
"clings",22,81,39
"clingy",27,29,0
"clinic",630,1477,271
"clinics",50,756,95
"clink",55,59,32
"clinked",1,41,10
"clinker",11,24,11
"clinkers",0,5,1
"clinking",42,46,18
"clinks",4,1,1
"clip",257,464,57
"clipboard",37,128,7
"clipboards",1,17,0
"clipped",110,462,95
"clipper",41,70,2
"clippers",36,44,10
"clippie",0,4,0
"clipping",55,140,34
"clippings",62,79,37
"clips",108,291,42
"clique",39,78,39
"cliques",10,36,9
"cliquey",3,4,0
"cloak",147,733,123
"cloaked",31,93,15
"cloaking",38,17,0
"cloakroom",32,166,20
"cloakrooms",0,21,4
"cloaks",7,140,20
"clobber",28,45,17
"clobbered",43,44,15
"cloche",0,25,6
"cloches",0,36,12
"clock",2893,2930,637
"clocked",59,215,10
"clocking",18,84,12
"clocks",136,474,72
"clockwise",17,271,18
"clockwork",52,125,43
"clod",18,18,13
"clods",5,50,21
"clog",41,123,12
"clogged",54,148,40
"clogging",19,75,15
"cloggy",1,14,3
"clogs",18,100,20
"cloister",19,93,21
"cloistered",9,37,20
"cloisters",0,95,33
"clone",118,360,10
"clones",39,382,5
"clop",2,16,2
"clopped",0,2,0
"clopping",1,4,4
"clops",0,1,0
"close",9558,21380,3636
"closed",2649,9877,1938
"closedown",0,12,0
"closely",465,5524,930
"closeness",33,333,90
"closer",2188,4645,911
"closes",310,511,73
"closest",431,1076,221
"closet",1360,226,176
"closets",108,34,35
"closing",1201,2730,416
"closure",137,1931,94
"closures",4,590,47
"clot",91,112,24
"cloth",304,1967,810
"clothe",40,94,16
"clothed",30,289,125
"clothes",5060,7325,2225
"clothesline",18,5,12
"clothier",2,76,0
"clothiers",0,85,0
"clothing",529,2183,627
"cloths",19,190,65
"clots",29,41,6
"clotted",14,55,30
"clotting",27,46,22
"cloud",498,2190,560
"cloudbank",0,3,0
"cloudburst",2,19,1
"cloudbursts",3,3,2
"clouded",46,271,60
"cloudier",1,3,2
"clouding",31,51,4
"cloudless",8,90,24
"clouds",482,1640,479
"cloudy",100,275,58
"clout",48,212,31
"clouted",1,24,5
"clouting",0,14,1
"clouts",2,5,5
"clove",18,141,20
"cloven",6,22,9
"clover",50,234,103
"clovers",8,36,8
"cloves",26,165,22
"clown",725,392,58
"clowned",2,0,0
"clowning",72,56,14
"clownish",2,21,11
"clowns",280,160,15
"cloy",1,3,4
"cloyed",0,4,0
"cloying",2,65,22
"cloys",0,1,1
"club",3698,16465,1593
"clubbed",13,58,20
"clubbing",33,47,6
"clubhouse",75,231,15
"clubs",513,3782,591
"cluck",55,19,9
"clucked",2,28,10
"clucking",22,33,11
"clucks",1,11,1
"clueless",85,26,1
"clump",26,231,66
"clumped",2,38,10
"clumping",4,26,14
"clumps",4,259,63
"clumsier",2,8,5
"clumsy",234,482,209
"clung",24,655,170
"clunk",25,40,8
"clunked",3,9,0
"clunking",4,9,1
"clunks",4,7,0
"cluster",63,967,159
"clustered",4,283,80
"clusters",37,655,111
"clutch",118,511,113
"clutched",11,443,130
"clutches",43,143,30
"clutching",35,736,198
"clutter",34,159,53
"cluttered",23,178,65
"clutters",4,6,1
"coach",1399,3402,509
"coached",49,161,20
"coaches",82,862,118
"coaching",161,811,71
"coachman",21,98,23
"coachmen",1,16,6
"coachwork",0,9,3
"coal",292,5092,762
"coaled",1,0,0
"coalface",0,16,6
"coalfield",0,170,4
"coalfields",1,119,3
"coalhouse",0,6,1
"coaling",0,20,0
"coalmine",3,9,5
"coalmines",0,11,5
"coals",47,256,53
"coaming",0,15,0
"coarse",62,641,196
"coarsely",0,58,19
"coarsened",0,17,10
"coarseness",1,37,8
"coarsening",0,7,2
"coarser",0,75,12
"coarsest",0,17,5
"coast",771,4701,861
"coastal",34,1440,181
"coasted",3,38,15
"coaster",154,50,15
"coasters",45,19,5
"coastguard",11,160,5
"coastguards",0,63,1
"coasting",12,67,10
"coastline",35,488,75
"coastlines",4,50,1
"coasts",18,310,44
"coat",2108,3545,936
"coated",19,411,60
"coating",23,361,47
"coatings",1,254,1
"coats",284,858,203
"coax",41,116,32
"coaxed",8,130,40
"coaxes",1,9,1
"coaxing",8,110,20
"cob",16,150,32
"cobalt",18,294,23
"cobber",2,5,14
"cobble",4,35,7
"cobbled",5,279,40
"cobbler",107,103,9
"cobblers",2,74,9
"cobbles",1,179,24
"cobbling",1,25,2
"cobra",41,229,35
"cobras",6,36,11
"cobs",2,27,6
"cobweb",9,53,19
"cobwebs",33,131,20
"coca",16,219,10
"cocaine",358,668,22
"coccyx",7,8,4
"cochlea",0,6,1
"cock",523,533,115
"cockade",0,13,2
"cockcrow",1,8,3
"cocked",38,250,85
"cocker",35,72,8
"cockeyed",76,6,7
"cockfight",9,13,0
"cockfights",5,4,1
"cocking",25,53,20
"cockle",4,34,9
"cockles",14,38,25
"cockney",11,292,48
"cockneys",1,19,6
"cockpit",152,573,59
"cockpits",3,22,0
"cockroach",160,55,9
"cocks",82,143,30
"cockscomb",0,2,1
"cocksure",9,10,4
"cocktail",518,717,147
"cocktails",177,119,32
"cocky",192,124,33
"coco",2,65,3
"cocoa",181,514,88
"cocoas",1,2,0
"cocoon",51,99,31
"cocooned",5,53,15
"cocoons",12,14,8
"cocos",0,7,0
"cocotte",0,3,2
"cod",34,382,174
"coda",5,64,4
"codas",0,4,2
"codding",0,3,2
"coddle",18,17,4
"coddled",15,12,10
"code",2264,5305,447
"coded",73,406,55
"codeine",20,24,7
"codes",461,1271,86
"codex",8,41,7
"codger",10,16,3
"codgers",0,7,4
"coding",35,494,26
"codling",2,63,8
"codlings",1,4,1
"codpiece",13,11,5
"cods",0,3,1
"coed",23,32,15
"coerce",21,54,16
"coerced",40,101,10
"coffee",6559,6666,1644
"coffees",96,93,14
"coffer",2,23,3
"coffers",9,166,10
"coffin",428,1397,144
"coffins",87,232,26
"cog",26,59,17
"cogent",10,87,23
"cognac",98,139,40
"cognacs",4,8,1
"cognate",0,68,2
"cognates",0,6,1
"cogs",10,65,17
"cogwheel",2,5,0
"cogwheels",0,4,0
"cohere",0,40,4
"cohered",0,4,0
"coheres",0,6,0
"cohort",8,361,22
"cohorts",11,158,18
"coif",3,13,2
"coiffure",5,21,9
"coiffured",0,10,1
"coiffures",0,5,2
"coifs",0,2,1
"coign",1,1,1
"coil",82,424,61
"coiled",12,194,55
"coiling",2,52,20
"coils",47,236,40
"coin",475,1233,140
"coinage",2,291,25
"coined",24,254,40
"coiner",0,4,0
"coiners",0,4,0
"coining",4,36,8
"coins",207,1412,177
"coir",0,24,4
"coke",435,610,100
"coked",10,2,0
"cokes",9,24,9
"coking",0,21,2
"col",0,365,28
"cola",60,209,15
"cold",6101,12220,3236
"colder",119,333,95
"coldest",43,108,24
"coldly",7,563,126
"coldness",17,240,47
"colds",32,132,88
"coleslaw",58,41,11
"colic",21,125,56
"collage",32,154,35
"collapse",274,2568,409
"collapsed",282,1721,275
"collar",524,1421,327
"collared",8,41,5
"collars",63,232,64
"collate",14,70,4
"collates",0,10,1
"colleague",336,1668,208
"colleagues",325,5557,705
"collect",959,2842,468
"collects",85,285,53
"colleen",0,19,10
"colleens",0,3,0
"college",3918,10239,1380
"collide",45,116,32
"collides",2,25,8
"collie",26,103,7
"collier",41,181,7
"colliers",1,48,0
"collies",4,20,0
"collude",9,49,4
"colludes",1,4,1
"cologne",144,509,66
"colon",112,786,13
"colonel",704,1961,1610
"colonels",26,65,38
"colons",3,18,1
"colour",430,11541,1505
"coloured",66,2482,637
"coloureds",3,31,22
"colours",153,4463,610
"colt",80,297,44
"coltish",1,7,3
"colts",18,118,8
"column",528,2843,414
"columns",130,1615,292
"coma",606,254,29
"comas",13,16,0
"comb",288,422,100
"combat",635,1581,311
"combats",0,29,1
"combed",53,173,85
"comber",0,43,1
"combers",0,18,0
"combine",99,1739,298
"combined",198,4445,760
"combines",26,632,88
"combing",59,106,46
"combo",118,247,8
"combos",5,38,1
"combs",34,122,24
"combust",8,5,0
"come",78700,69525,15605
"comeback",162,522,29
"comebacks",16,32,2
"comedown",6,9,7
"comely",16,49,19
"comer",17,208,59
"comers",12,100,37
"comes",11412,15968,3394
"comet",119,264,26
"comets",21,100,8
"comfier",1,4,0
"comfits",0,9,1
"comfort",812,3394,700
"comforts",69,279,65
"comfrey",1,26,13
"comfy",97,112,8
"comic",514,1195,256
"comics",197,232,62
"coming",25061,20376,4050
"comings",13,85,28
"comma",43,201,21
"command",1860,4171,888
"commands",188,951,183
"commas",15,171,20
"commence",142,444,28
"commenced",27,658,30
"commend",89,284,40
"commends",5,34,5
"comment",630,5355,594
"comments",229,4373,300
"commerce",103,1617,229
"commie",44,26,7
"commies",25,20,11
"commit",965,1386,300
"commits",65,201,28
"commode",15,77,29
"commodes",0,18,5
"common",2171,18249,3234
"commons",4,3691,507
"commune",64,264,102
"communed",2,9,5
"communes",5,112,75
"commute",43,91,12
"commutes",4,19,2
"compact",76,1629,149
"compacts",5,157,5
"compare",399,2432,348
"compared",447,8825,945
"compares",41,592,66
"compass",196,623,90
"compel",51,225,88
"compelled",137,777,270
"compels",33,57,33
"compere",3,30,4
"compered",0,9,0
"compete",427,1930,256
"competes",8,93,9
"compile",24,245,12
"compiled",29,865,65
"compiles",1,20,2
"complain",627,1363,312
"complained",174,1885,350
"complains",69,224,72
"complaint",509,1829,225
"complaints",340,2710,273
"complete",2495,12804,1769
"completes",46,230,23
"complex",647,9470,1236
"complied",13,370,25
"complies",7,105,4
"compline",0,49,1
"comply",112,1432,76
"compo",0,20,2
"comport",5,11,8
"compos",9,1,3
"compose",72,247,100
"composed",93,2048,361
"compost",23,565,58
"composts",0,33,4
"compote",5,12,5
"compotes",0,3,0
"compound",345,1229,238
"compounds",29,1004,175
"compress",31,109,30
"compressed",36,420,125
"comprise",9,692,56
"comprised",24,742,35
"compute",31,115,20
"computes",2,26,4
"comrade",157,342,105
"comrades",146,442,178
"coms",12,1,0
"con",521,761,38
"concave",7,117,24
"conceal",120,687,224
"concealed",111,930,275
"conceals",9,130,17
"concede",52,501,88
"concedes",1,160,31
"conceit",24,101,36
"conceits",1,21,8
"conceive",116,455,116
"conceived",158,1221,225
"conceives",4,64,10
"concept",551,6415,851
"concepts",64,2678,266
"concern",1318,10420,1328
"concerned",2228,16292,2492
"concerns",516,3830,344
"concert",866,1871,272
"concerts",91,781,98
"conch",18,33,185
"concise",19,292,26
"conclave",1,35,7
"conclaves",0,5,0
"conclude",126,1465,156
"concludes",114,756,99
"concoct",14,35,8
"concord",6,100,15
"concourse",22,145,52
"concrete",337,2705,598
"concur",57,118,16
"concurred",7,100,20
"concurs",8,24,1
"concussed",5,36,5
"condemn",118,481,136
"condemned",214,1580,290
"condemns",12,134,26
"condense",14,62,16
"condensed",20,260,45
"condom",249,254,10
"condoms",222,279,16
"condone",56,110,32
"condoned",9,92,25
"condones",6,22,2
"condor",8,71,6
"condors",2,11,0
"conduct",533,4175,422
"conducts",18,167,18
"conduit",47,173,28
"conduits",11,35,9
"cone",126,436,62
"cones",58,287,42
"confer",64,382,36
"conferred",15,578,80
"confers",8,177,31
"confess",753,658,228
"confessed",301,733,200
"confide",95,174,36
"confides",7,34,4
"confine",46,316,76
"confined",145,2408,403
"confines",39,396,71
"confirm",627,2618,228
"confirmed",631,4955,434
"confirms",126,678,83
"conflate",0,11,0
"conflates",0,12,0
"conflict",424,5901,890
"conflicts",75,1480,186
"confluence",10,82,13
"confluent",1,24,0
"conform",42,825,132
"conformed",64,121,25
"conforms",11,184,25
"confound",25,89,20
"confounds",7,27,7
"confront",203,721,132
"confronts",27,137,30
"confuse",235,502,112
"confused",1600,2506,523
"conga",38,16,5
"congas",5,3,6
"congeal",5,11,4
"congealed",6,73,15
"congeals",1,3,3
"conger",1,30,42
"congers",0,2,14
"congest",1,4,0
"congo",0,226,56
"congrats",27,6,0
"congress",60,5465,669
"congruence",0,78,2
"congruent",9,70,5
"congruous",0,5,3
"conic",3,10,0
"conjoin",0,3,0
"conjoined",11,23,5
"conjoint",0,19,2
"conjunct",0,6,0
"conjuncts",0,7,0
"conjure",58,179,16
"conjured",21,208,15
"conjures",9,97,13
"conk",21,9,0
"conked",25,14,0
"conker",0,62,0
"conkers",1,38,8
"conks",5,1,0
"connect",449,750,136
"connects",93,246,34
"conned",66,99,30
"conning",38,52,7
"connive",2,17,4
"connived",3,36,0
"connives",1,2,1
"connote",2,33,0
"connotes",0,26,5
"conquer",244,270,96
"conquered",139,347,115
"conquers",24,18,12
"conquest",90,640,129
"conquests",29,120,30
"cons",100,306,31
"conscience",688,1357,425
"conscious",336,3066,807
"conscript",3,50,8
"conscripts",5,120,15
"consent",372,3549,226
"consents",10,206,15
"conserve",34,316,76
"conserved",4,244,15
"conserves",0,9,11
"consign",9,50,12
"consigned",9,213,30
"consigns",0,11,1
"consist",22,1235,0
"consists",68,2566,0
"console",109,380,74
"consoled",13,101,40
"consoles",3,46,8
"consols",0,14,0
"consort",28,207,43
"consorts",5,31,4
"constant",477,5153,897
"constants",4,250,18
"constrain",2,180,12
"constrained",12,751,62
"constrains",3,35,1
"constraint",2,653,44
"constraints",16,1934,103
"constrict",3,25,4
"constricts",4,5,2
"construct",72,1412,173
"constructs",9,312,26
"construe",15,111,4
"construed",36,530,35
"construes",1,10,0
"consul",105,209,47
"consuls",0,59,8
"consult",278,1202,272
"consults",20,31,11
"consume",99,523,128
"consumed",150,841,185
"consumes",35,114,49
"contact",3084,10379,1361
"contacts",393,2137,290
"contain",301,4517,616
"contained",233,4967,645
"contains",258,4593,518
"contemn",0,3,0
"contemned",1,2,0
"contempt",245,1264,323
"contend",46,400,84
"contends",9,152,16
"content",370,6154,984
"contents",214,3030,373
"contest",916,1711,200
"contests",69,326,45
"context",161,8580,749
"contexts",1,1198,69
"contort",5,11,4
"contorts",2,5,0
"contour",13,200,18
"contoured",4,52,0
"contours",18,345,54
"contract",1604,11931,610
"contracts",290,4534,228
"contrast",105,6539,745
"contrasts",9,797,72
"contrite",11,63,9
"contrive",5,82,24
"contrived",22,390,97
"contrives",0,23,7
"control",5978,29111,3876
"controlled",345,4631,635
"controls",385,4259,408
"convene",34,139,12
"convened",33,343,30
"convenes",8,9,0
"convent",156,551,138
"convents",8,31,9
"converge",25,208,36
"converged",5,127,30
"converse",50,274,56
"conversed",5,37,15
"convert",149,1236,199
"converts",32,329,59
"convex",2,222,20
"convey",132,1163,220
"conveyed",23,688,120
"conveys",8,273,25
"convict",311,254,44
"convicts",58,105,15
"convince",909,1242,296
"convinced",1048,3282,833
"convoked",0,10,0
"convoy",160,597,117
"convoys",11,223,82
"convulse",5,10,4
"convulsed",4,60,15
"coo",18,62,12
"cooed",1,55,15
"cooing",18,60,20
"cook",2082,3909,726
"cookbook",33,55,8
"cookbooks",11,11,2
"cooked",466,1276,460
"cooker",23,537,69
"cookers",1,125,22
"cookhouse",1,33,3
"cookie",611,85,33
"cookies",854,63,42
"cooking",1228,2674,692
"cooks",179,346,81
"cool",7778,3971,983
"coolant",33,39,6
"coolants",3,16,0
"cooled",62,350,85
"cooler",346,374,85
"coolers",38,22,2
"coolest",206,36,5
"coolie",21,42,14
"coolies",6,59,11
"cooling",105,730,112
"coolly",6,405,75
"coolness",17,144,48
"cools",35,89,28
"coon",55,17,5
"coons",23,13,6
"coop",71,55,56
"cooper",3,1216,99
"coops",1,11,16
"coos",4,8,6
"coot",36,28,8
"coots",0,21,5
"cop",4131,467,155
"cope",160,4188,647
"coped",4,253,35
"copes",1,79,14
"copied",119,752,115
"copier",32,49,1
"copiers",3,26,0
"copies",477,3518,355
"coping",48,930,122
"copings",0,4,0
"copious",7,188,49
"copped",48,27,10
"copper",242,1885,311
"coppered",0,3,0
"coppers",39,114,21
"coppice",0,47,22
"copping",35,17,3
"copra",4,29,0
"cops",3873,373,138
"copse",0,125,16
"copses",0,36,23
"copt",0,51,0
"coptic",0,69,13
"copts",0,105,2
"copy",1960,5999,641
"coquette",14,11,2
"coquettes",0,3,0
"cor",4,658,21
"coral",59,753,87
"corals",3,276,17
"corbel",0,11,2
"corbels",0,23,0
"cord",340,698,145
"cordage",5,7,1
"corded",1,45,10
"cordial",54,118,38
"cording",1,7,7
"cordite",1,31,10
"cordon",33,161,31
"cordons",1,34,6
"cords",85,269,54
"core",461,3390,303
"cored",1,21,0
"corer",0,5,2
"corers",0,3,0
"cores",33,209,20
"corgi",1,94,1
"corgis",3,16,2
"coring",0,7,0
"corinth",0,165,2
"cork",113,903,70
"corkage",0,2,0
"corked",12,22,6
"corker",9,58,2
"corkers",0,3,0
"corking",3,11,4
"corks",11,82,28
"corkscrew",45,91,22
"corkscrews",2,13,2
"corm",0,5,0
"corms",0,22,1
"corn",633,1197,445
"corncob",11,8,1
"corncrake",0,18,2
"corncrakes",0,9,0
"cornea",16,64,5
"corneal",7,27,0
"corneas",9,8,0
"corned",60,83,15
"corner",2573,7500,1822
"cornered",117,187,45
"corners",251,1558,377
"cornet",5,30,5
"cornets",0,7,7
"cornfield",34,35,10
"cornfields",5,32,8
"cornflake",5,12,4
"cornflakes",21,142,58
"cornice",2,75,13
"corning",1,75,0
"cornish",8,443,22
"corns",43,27,5
"cornwall",0,1276,95
"corny",154,54,20
"corps",138,1200,344
"corpse",499,830,186
"corpses",184,367,124
"corpus",45,724,32
"corral",89,48,10
"corralled",6,16,5
"corrals",9,8,1
"correct",1767,6789,915
"corrects",5,42,7
"corrie",0,140,90
"corries",0,32,2
"corrode",5,22,12
"corrodes",7,13,2
"corrupt",263,616,186
"corrupts",26,39,9
"corsage",46,18,6
"corsair",1,62,13
"corsairs",0,8,0
"corse",7,10,8
"corselet",0,5,4
"corset",44,72,32
"corsets",17,58,33
"cortege",2,30,4
"cortex",52,369,40
"corvette",8,33,1
"corvettes",0,12,7
"cory",0,43,2
"cos",878,16346,394
"cosh",0,47,0
"coshed",0,8,5
"coshes",0,3,3
"cosier",1,21,8
"cosies",0,6,1
"cosine",6,43,1
"cosines",0,10,0
"cosmic",161,408,132
"cosmos",44,241,48
"cosset",0,15,4
"cost",2688,20615,2497
"costard",0,4,0
"costed",2,109,5
"coster",0,9,0
"costers",0,7,1
"costing",118,1150,118
"costings",0,107,6
"costive",0,6,4
"costlier",0,15,3
"costly",74,1128,197
"costs",778,15221,1619
"costume",706,673,367
"costumes",283,501,177
"cosy",72,712,136
"cot",97,496,380
"cote",0,64,19
"cotes",0,20,4
"cots",30,88,26
"cottage",247,3183,555
"cottar",0,3,7
"cottars",0,7,0
"cotton",515,2440,496
"couch",1171,528,165
"couchant",2,5,4
"couched",2,196,30
"couches",22,46,10
"couchette",0,7,3
"couching",7,8,1
"cougar",38,12,2
"cougars",6,2,1
"cough",387,793,203
"coughed",29,325,80
"coughing",207,406,116
"coughs",104,89,35
"could",75735,168392,33660
"couldst",5,3,2
"coulter",0,73,3
"coulters",0,4,1
"council",450,31344,1818
"councils",7,3473,326
"counsel",613,1311,192
"counselled",5,104,20
"counselling",40,1403,67
"counsels",7,64,15
"count",3618,4216,1393
"countdown",147,124,15
"countdowns",0,0,6
"counted",320,1280,305
"counter",677,2482,592
"countered",12,433,80
"counters",41,240,65
"countess",68,533,94
"counties",33,1566,124
"counting",1033,1173,201
"countless",116,646,182
"countries",533,16769,3979
"country",8030,31905,6561
"counts",683,1831,196
"county",742,11353,785
"coup",123,1697,121
"coupe",25,107,12
"coupé",3,0,0
"coupes",5,22,4
"coupés",0,0,0
"couple",10892,12432,2006
"coupled",35,1273,125
"couples",375,1575,297
"couplet",2,98,5
"couplets",1,59,8
"coupling",25,360,24
"couplings",8,42,4
"coupon",110,581,10
"coupons",106,207,21
"coups",3,102,29
"courage",1084,2109,593
"courgette",1,54,0
"courgettes",0,102,12
"courier",138,363,78
"couriers",41,44,15
"course",24319,19694,11914
"coursed",2,47,15
"courser",0,3,0
"coursers",0,5,0
"courses",195,8040,1164
"coursing",24,73,30
"court",4464,28751,2276
"courted",36,104,25
"courteous",59,270,94
"courthouse",210,59,40
"courtier",3,91,27
"courtiers",4,184,39
"courting",80,241,47
"courtly",8,126,40
"courtroom",422,207,118
"courtrooms",10,12,6
"courts",279,5992,411
"courtship",55,275,47
"courtships",3,7,4
"courtyard",106,845,255
"courtyards",0,109,28
"couscous",12,30,25
"cousin",2196,1809,400
"cousins",342,742,175
"couth",7,0,2
"couture",15,86,9
"cove",57,285,37
"coven",23,40,6
"covens",4,14,8
"cover",4247,11118,1879
"covered",1578,8175,1540
"covers",468,2825,341
"covert",136,371,58
"coverts",2,41,6
"coves",2,68,13
"covet",47,43,8
"covets",11,10,1
"covey",2,10,9
"cow",1202,1396,403
"coward",665,338,95
"cowards",140,68,31
"cowbells",0,12,0
"cowboy",747,325,84
"cowboys",187,176,29
"cowed",6,96,20
"cower",16,39,8
"cowered",2,45,10
"cowers",0,11,1
"cowgirl",54,8,1
"cowgirls",30,4,1
"cowherd",0,5,3
"cowherds",0,3,1
"cowhide",5,6,5
"cowl",5,64,5
"cowled",0,24,5
"cowling",3,41,1
"cowlings",0,15,2
"cowls",0,16,0
"cowman",3,7,5
"cowpat",1,4,0
"cowpox",6,10,5
"cowrie",3,33,8
"cowries",0,31,8
"cows",442,1214,326
"cowshed",2,24,18
"cowsheds",1,9,2
"cowslip",0,97,12
"cowslips",0,20,10
"cox",1,627,1
"coxcomb",4,9,1
"coxed",0,13,5
"coxes",0,14,1
"coxing",0,7,0
"coxswain",0,52,8
"coy",82,205,33
"coyly",3,65,14
"coyness",2,22,14
"coypu",0,27,4
"crab",241,335,81
"crabbed",2,19,7
"crabbing",9,9,0
"crabby",36,12,13
"crabgrass",6,6,4
"crabs",141,230,90
"crabwise",0,12,4
"crack",1556,1803,373
"crackdown",10,286,8
"crackdowns",1,5,0
"cracked",481,1024,248
"cracker",205,173,14
"crackers",214,189,37
"cracking",282,555,103
"crackle",24,128,34
"crackled",1,131,45
"crackles",19,31,6
"crackling",56,189,56
"crackpot",47,42,9
"crackpots",9,7,5
"cracks",235,685,168
"cracksman",0,4,1
"cradle",121,379,94
"cradled",5,169,40
"cradles",10,49,12
"craft",279,2084,262
"crafted",24,140,10
"craftier",2,3,1
"crafting",12,19,2
"crafts",64,508,62
"craftsman",37,268,48
"craftsmen",18,586,83
"crafty",50,166,35
"crag",11,400,41
"cragged",0,3,0
"craggy",2,121,26
"crags",1,224,18
"cragsmen",0,3,0
"crake",0,14,2
"crakes",0,4,1
"cram",54,146,36
"crammed",56,446,135
"crammer",0,15,0
"crammers",0,6,0
"cramming",26,67,15
"cramp",128,163,48
"cramped",69,451,121
"cramping",44,37,15
"crampon",2,34,0
"crampons",1,64,15
"cramps",70,100,37
"crams",0,5,3
"crane",181,642,39
"craned",1,76,15
"cranes",33,193,37
"crania",0,9,5
"cranial",35,58,8
"craning",2,57,18
"cranium",37,28,51
"crank",202,101,41
"cranked",25,35,10
"cranking",33,28,13
"cranks",11,63,16
"crankshaft",4,24,8
"crankshafts",0,7,1
"cranky",159,50,18
"crannies",9,51,7
"cranny",22,39,9
"crap",2970,856,122
"crape",0,3,0
"crapes",1,0,0
"crapped",32,9,5
"crapping",19,11,1
"crappy",237,48,3
"craps",125,9,3
"crash",1336,2509,345
"crashed",511,1368,150
"crashes",104,232,28
"crashing",287,581,118
"crass",35,103,22
"crassly",0,11,1
"crassness",1,13,0
"crate",204,245,48
"crated",6,22,10
"crater",95,290,85
"craters",16,171,43
"crates",92,244,56
"cravat",5,51,11
"cravats",4,15,7
"crave",103,110,36
"craved",16,116,25
"craven",11,387,19
"cravens",0,5,0
"craves",23,37,19
"craving",106,167,57
"cravings",24,58,8
"crawfish",9,15,0
"crawl",511,434,142
"crawled",194,455,155
"crawler",14,10,4
"crawlers",10,8,5
"crawling",441,419,157
"crawls",52,43,14
"crayfish",2,41,4
"crayon",21,60,13
"crayoned",0,5,0
"crayons",56,105,19
"craze",52,172,45
"crazed",103,136,35
"crazes",1,12,3
"crazier",104,19,5
"crazing",0,2,0
"crazy",13059,1789,552
"creak",21,137,28
"creaked",2,162,55
"creaking",114,231,70
"creaks",50,40,13
"creaky",12,32,9
"cream",2262,3255,587
"creamed",70,55,25
"creamer",33,13,0
"creamier",1,6,0
"creaming",4,26,8
"creams",34,209,25
"creamy",52,383,74
"crease",44,143,42
"creased",14,202,65
"creases",16,110,29
"creasing",0,36,12
"create",1253,8181,1064
"creates",190,1438,233
"creature",1044,1867,619
"creatures",607,2068,655
"creche",0,131,0
"crèches",0,0,0
"credence",21,185,19
"credit",2244,7375,731
"credits",164,799,68
"credo",30,69,14
"credos",0,3,0
"creed",51,785,82
"creeds",8,57,22
"creek",192,318,243
"creeks",6,38,39
"creel",0,17,12
"creels",0,11,1
"creep",531,561,146
"creeper",2,46,18
"creepers",8,62,55
"creeping",125,527,137
"creeps",317,127,51
"creepy",512,78,16
"creole",1,597,16
"creoles",0,37,6
"creosote",6,35,7
"crepe",37,56,26
"crepes",17,10,4
"crept",54,798,190
"crescent",24,554,95
"crescents",0,24,11
"cress",0,78,17
"crest",69,580,107
"crested",2,122,17
"cresting",1,8,2
"crests",7,120,33
"cretin",42,19,5
"cretins",20,9,4
"crevasse",3,25,4
"crevice",19,60,31
"crew",2156,3063,382
"crewed",6,57,0
