Word,RoughnessMean,HardnessMean,MainYear,EtymonYear,Etymology,Origin,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm,CommentOnOEDFullSense
scaly,1.9,NA,1528,?a1200/c1275,scale,Germanic,(s)kel-,(s)kel-,scale,
sharp,NA,3.4,c825/a1225,,,Germanic,(s)ker-,(s)ker-1,,
crisp,2,1.8,c900,,,Latin,(s)ker-,(s)ker-3,,
ridged,3.1,NA,c1225/?c1200,eOE/OE/c1150,ridge,Germanic,(s)ker-,(s)ker-2,ridge,
slick,-5.5,NA,?a1366,,,Germanic,(s)lei-,(s)lei-,,
slimy,-5.2,NA,1398,a1000,slime,Germanic,(s)lei-,(s)lei-,slime,
slippery,-6.2,NA,1535,a1050,slipper,alteration of 'slipper',(s)lei-,(s)lei-,,
foamy,NA,-4.4,OE/c1385,a700,foam,Germanic,(s)poi-mo-,(s)poi-mo-,foam,
thorny,5.8,NA,a1023,c950/OE/c1000,thorn,Germanic,(s)ter-n-,(s)ter-n-,thorn,
puffy,NA,-5.3,a1594,OE/lOE/?c1225,puff,possibly imitative formation,beu-,beu-,,
bristly,4.4,2.6,1591,a1000/c1314,bristle,Germanic,bhars-,bhars-,bristle,
perforated,0.4,NA,1486,?a1425,perforate,French borrowing,bher-,bher-2,perforate,
frizzy,0.6,NA,1870,1660,frizz,French borrowing,bher-,bher-4,frizz,
bark,4.3,1.9,a1300,,,Scandinavian/Germanic,bherg,bherg,,
sandy,3.9,NA,c1000,c825/c1000,sand,Germanic,bhes-,bhes-,sand,
fluid,-4.6,-4.8,1603,,,French borrowing,bhleu-,bhleu-,,
broken,3.1,NA,c1200,a1000,break,Germanic,bhreg-,bhreg-,break,
nonbreakable,NA,5.3,1570,a1000,break,Germanic,bhreg-,bhreg-,break,entry of 'breakable'
frayed,-0.8,NA,1815,1575,fray,French borrowing,bhreie-,bhreie-,,
brittle,NA,0.8,a1382,OE,brit,Germanic,bhreu-,bhreu-,,
tough,NA,4.7,a700,,,Germanic,denk-,denk-,,
fabric,-1.9,-2.8,1483,,,French borrowing,dhabh-,dhabh-,,
firm,4.2,NA,a1340,,,French borrowing,dher-,dher-,,
dusty,-0.8,NA,a1225,c825,dust,Germanic,dheu-,dheu-,,
etched,2.8,NA,1847,1634,etch,Dutch,ed-,ed-,etch,entry of 'etch'
icy,-4.3,4.8,OE(Beowulf)/1511,eOE(Metres of Boethius),ice,Germanic,eis-,eis-,ice,
oily,-6.2,NA,c1475,1221,oil,French borrowing,elaia,elaia,oil,
brassy,-2.3,2.1,1582,c1000,brass,unknown origin,ferrum,ferrum,,
knitted,NA,-3.2,1855,c1000,knit,Germanic,g(e)n-,g(e)n-,knit,
knobby,2.6,1.8,1543,1398,knob,possibly Germanic,g(e)n-,g(e)n-,knob,
crumpled,3.1,NA,a1400,a800,crump,Germanic,g(e)r-,g(e)r-,crumple,
clean,NA,-3.3,883,,,Germanic,gel-,gel-1,,
gelatinous,-4.2,-4.3,1731,,,French,gel-,gel-2,gelatin?,
crinkled,2.4,0.3,1558,c1386,crinkle,probably Germanic,ger-,ger-,crinkle,
crinkly,2.7,0.8,1750,c1386,crinkle,probably Germanic,ger-,ger-,crinkle,
cracked,3.5,NA,c1000,,crack,Germanic,gere-,gere-,,entry of 'crack'
glass,-5.2,2.4,c888,,,Germanic,ghel-,ghel-,,
glassy,-4.3,2.3,1887,c888,glass,Germanic,ghel-,ghel-,glass,
grooved,1.7,NA,1793,a1400-1450,groove,Dutch borrowing,ghrebh-,ghrebh-,,
creamy,-4.8,-4.8,1610,1332,cream,French borrowing,ghrei-,ghrei-,,
grimy,-1.2,NA,1612,1483,grime,probably Germanic,ghrei-,ghrei-,grime,
gravelly,4.1,NA,a1382,a1300,gravel,French borrowing,ghreu-,ghreu-,gravel,
gluey,-2.9,NA,1382,c1380,glue,French borrowing,glei-,glei-,,"A hard, brittle, brownish gelatin, obtained by boiling the hides and hoofs of animals to a jelly; when gently heated with water, it is used as a cement for uniting substances."
scratchy,5,NA,1710,1474,scratch,"apparently produced by a confusion of the synonymous scrat n., cratch v.",grat-,grat-,scratch,
grainy,3.9,1.8,1611,1398,grain,French borrowing,gre-no-,gre-no-,grain,"A single seed of a plant, esp. one which is small, hard, and roundish in form. => extended to A small, hard, usually roundish particle (e.g. of sand, gold, salt, pepper). with a grain of salt => Any of the irregularly shaped discrete particles or crystals in a rock or a metal, usu. but not necessarily small:"
granular,3.5,NA,1794,1398,grain,French borrowing,gre-no-,gre-no-,granule,
beaded,3,1.5,1577,c855,bead,Germanic,gwhedh-,gwhedh-,prayer,
callused,4.2,NA,1819,1578,callous,Latin,kal-,kal-,callous; from Latin hard,callous
canvas,-0.3,-1.4,1260,,,French borrowing,kannabis,kannabis,,
